House # ,Waste,Organic,Recycle
I-501 M,Sat,"Sat,Tue",Sat
I-502 M,Sat,"Sat,Tue",Sat
I-503 M,Sat,"Sat,Tue",Sat
I-504 M,Sat,"Sat,Tue",Sat
I-505 M,Sat,"Sat,Tue",Sat
I-506 M,Sat,"Sat,Tue",Sat
I-507 M,Sat,"Sat,Tue",Sat
I-508 M,Sat,"Sat,Tue",Sat
I-509 M,Sat,"Sat,Tue",Sat
I-510 M,Sat,"Sat,Tue",Sat
I-511 M,Sat,"Sat,Tue",Sat
I-512 M,Sat,"Sat,Tue",Sat
I-513 M,Sat,"Sat,Tue",Sat
I-514 M,Sat,"Sat,Tue",Sat
I-515 M,Sat,"Sat,Tue",Sat
I-516 M,Sat,"Sat,Tue",Sat
I-517 M,Sat,"Sat,Tue",Sat
I-518 M,Sat,"Sat,Tue",Sat
I-519 M,Sat,"Sat,Tue",Sat
I-520 M,Sat,"Sat,Tue",Sat
I-521 M,Sat,"Sat,Tue",Sat
I-522 M,Sat,"Sat,Tue",Sat
I-523 M,Sat,"Sat,Tue",Sat
I-524 M,Sat,"Sat,Tue",Sat
I-525 M,Sat,"Sat,Tue",Sat
I-526 M,Sat,"Sat,Tue",Sat
I-527 M,Sat,"Sat,Tue",Sat
I-528 M,Sat,"Sat,Tue",Sat
I-529 M,Sat,"Sat,Tue",Sat
I-530 M,Sat,"Sat,Tue",Sat
I-531 M,Sat,"Sat,Tue",Sat
I-532 M,Sat,"Sat,Tue",Sat
I-533 M,Sat,"Sat,Tue",Sat
I-534 M,Sat,"Sat,Tue",Sat
I-535 M,Sat,"Sat,Tue",Sat
I-536 M,Sat,"Sat,Tue",Sat
I-537 M,Sat,"Sat,Tue",Sat
I-538 M,Sat,"Sat,Tue",Sat
I-539 M,Sat,"Sat,Tue",Sat
I-540 M,Sat,"Sat,Tue",Sat
I-541 M,Sat,"Sat,Tue",Sat
I-542 M,Sat,"Sat,Tue",Sat
I-543 M,Sat,"Sat,Tue",Sat
I-544 M,Sat,"Sat,Tue",Sat
I-545 M,Sat,"Sat,Tue",Sat
I-546 M,Sat,"Sat,Tue",Sat
I-547 M,Sat,"Sat,Tue",Sat
I-548 M,Sat,"Sat,Tue",Sat
I-549 M,Sat,"Sat,Tue",Sat
I-550 M,Sat,"Sat,Tue",Sat
I-551 M,Sat,"Sat,Tue",Sat
I-552 M,Sat,"Sat,Tue",Sat
I-553 M,Sat,"Sat,Tue",Sat
I-554 M,Sat,"Sat,Tue",Sat
I-555 M,Sat,"Sat,Tue",Sat
I-556 M,Sat,"Sat,Tue",Sat
I-557 M,Sat,"Sat,Tue",Sat
I-558 M,Sat,"Sat,Tue",Sat
I-559 M,Sat,"Sat,Tue",Sat
I-560 M,Sat,"Sat,Tue",Sat
I-561 M,Sat,"Sat,Tue",Sat
I-562 M,Sat,"Sat,Tue",Sat
I-563 M,Sat,"Sat,Tue",Sat
I-5000,Sat,"Sat,Tue",Tue
I-5002,Sat,"Sat,Tue",Tue
I-5004,Sat,"Sat,Tue",Tue
I-5006,Sat,"Sat,Tue",Tue
I-5008,Sat,"Sat,Tue",Tue
I-5010,Sat,"Sat,Tue",Tue
I-5012,Sat,"Sat,Tue",Tue
I-5014,Sat,"Sat,Tue",Tue
I-5016,Sat,"Sat,Tue",Tue
I-5018,Sat,"Sat,Tue",Tue
I-5020,Sat,"Sat,Tue",Tue
I-5022,Sat,"Sat,Tue",Tue
I-5024,Sat,"Sat,Tue",Tue
I-5026,Sat,"Sat,Tue",Tue
I-5028,Sat,"Sat,Tue",Tue
I-5030,Sat,"Sat,Tue",Tue
I-5032,Sat,"Sat,Tue",Tue
I-5034,Sat,"Sat,Tue",Tue
I-5036,Sat,"Sat,Tue",Tue
I-5038,Sat,"Sat,Tue",Tue
I-5040,Sat,"Sat,Tue",Tue
I-5042,Sat,"Sat,Tue",Tue
I-5044 A,Sat,"Sat,Tue",Tue
I-5044 B,Sat,"Sat,Tue",Tue
I-5046,Sat,"Sat,Tue",Tue
I-5048,Sat,"Sat,Tue",Tue
I-5050,Sat,"Sat,Tue",Tue
I-5052,Sat,"Sat,Tue",Tue
I-5054,Sat,"Sat,Tue",Tue
I-5056,Sat,"Sat,Tue",Tue
I-5058,Sat,"Sat,Tue",Tue
I-5060,Sat,"Sat,Tue",Tue
I-5062,Sat,"Sat,Tue",Tue
I-5064,Sat,"Sat,Tue",Tue
I-5066,Sat,"Sat,Tue",Tue
I-5068,Sat,"Sat,Tue",Tue
I-5070,Sat,"Sat,Tue",Tue
I-5072,Sat,"Sat,Tue",Tue
I-5074,Sat,"Sat,Tue",Tue
I-5076,Sat,"Sat,Tue",Tue
I-5078,Sat,"Sat,Tue",Tue
I-5080,Sat,"Sat,Tue",Tue
I-5082,Sat,"Sat,Tue",Tue
I-5084,Sat,"Sat,Tue",Tue
I-5086,Sat,"Sat,Tue",Tue
I-5088,Sat,"Sat,Tue",Tue
I-5090,Sat,"Sat,Tue",Tue
